name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Lang Walker,2300,M,77.0,1945.0,7.0,5.0,Real Estate,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Farkhad Akhmedov,1100,M,67.0,1955.0,9.0,15.0,Energy,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Xu Zhihan,1500,M,50.0,1972.0,11.0,30.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Low Tuck Kwong,25500,M,74.0,1948.0,4.0,17.0,Energy,True,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Marisa Del Vecchio,3500,F,64.0,1958.0,7.0,10.0,Fashion & Retail,False,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Alex Beard,2100,M,55.0,1967.0,8.0,3.0,Metals & Mining,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Jeffrey Cheah,1200,M,78.0,1945.0,3.0,30.0,Real Estate,True,Malaysia,"$364,701,517,788 ",0.7,45.1,76.0,38.7,32447385.0
Huang Qiaoling,2000,M,64.0,1958.0,11.0,15.0,Media & Entertainment,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Viktor Kharitonin,5000,M,50.0,1972.0,11.0,20.0,Healthcare,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Masahiro Noda,3600,M,84.0,1938.0,8.0,24.0,Technology,True,Japan,"$5,081,769,542,380 ",0.5,63.2,84.2,46.7,126226568.0
Charles Munger,2200,M,99.0,1924.0,1.0,1.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Aneel Bhusri,2200,M,57.0,1966.0,2.0,4.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Stewart Horejsi & family,2600,M,85.0,1937.0,9.0,19.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Brian Higgins,1800,M,58.0,1965.0,2.0,8.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Tor Peterson,2400,M,58.0,1964.0,8.0,7.0,Metals & Mining,True,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Bruce Kovner,6600,M,78.0,1945.0,2.0,25.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
N. Murray Edwards,2700,M,63.0,1959.0,12.0,10.0,Energy,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Hamdi Akin & family,1500,M,68.0,1955.0,1.0,1.0,Diversified,True,Turkey,"$754,411,708,203 ",15.2,23.9,77.4,42.3,83429615.0
Gang Chen,1100,M,55.0,1968.0,1.0,1.0,Energy,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Wee Cho Yaw,7100,M,94.0,1929.0,1.0,10.0,Finance & Investments,False,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Niranjan Hiranandani,1500,M,73.0,1950.0,3.0,8.0,Real Estate,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Nobutada Saji,1300,M,77.0,1945.0,11.0,25.0,Food & Beverage,False,Japan,"$5,081,769,542,380 ",0.5,63.2,84.2,46.7,126226568.0
Liying Chen,1100,F,47.0,1975.0,10.0,30.0,Logistics,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Margot Birmingham Perot,4400,F,89.0,1933.0,11.0,15.0,Technology,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Juan Domingo Beckmann Legorreta & family,4500,M,55.0,1967.0,7.0,1.0,Food & Beverage,False,Mexico,"$1,258,286,717,125 ",3.6,40.2,75.0,55.1,126014024.0
Luca Del Vecchio,3500,M,21.0,2001.0,8.0,31.0,Fashion & Retail,False,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Fumio Kaneko,1100,M,66.0,1956.0,10.0,17.0,Service,True,Japan,"$5,081,769,542,380 ",0.5,63.2,84.2,46.7,126226568.0
Chuanhua Xu & family,1900,M,88.0,1935.0,1.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Robert Kraft,10600,M,81.0,1941.0,6.0,5.0,Sports,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Bennett Rosenthal,1200,M,59.0,1963.0,9.0,24.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
